Person,Skill,Rating
Person 28,Python,5
Person 28,Swift,2
Person 29,C++,4
Person 29,Python,5
Person 29,C,5
Person 29,JavaScript,3
Person 30,Python,4
Person 30,Ruby,3
Person 30,Kotlin,5
Person 30,Swift,2
Person 30,R,5
Person 30,JavaScript,4
Person 30,Java,2
Person 30,PHP,4
Person 31,JavaScript,4
Person 31,PHP,4
Person 31,C++,5
Person 31,Java,2
Person 31,Go,4
Person 31,Swift,3
Person 31,C,4
Person 31,R,5
Person 31,Kotlin,4
Person 32,R,1
Person 32,PHP,2
Person 32,C++,3
Person 32,C,1
Person 32,Kotlin,4
Person 32,Java,5
Person 32,Ruby,5
Person 33,Go,1
Person 33,PHP,3
Person 33,Python,2
Person 33,C++,1
Person 33,Kotlin,4
Person 33,R,4
Person 33,JavaScript,1
Person 33,Java,2
Person 33,C,4
Person 34,Go,5
Person 34,PHP,5
Person 34,C++,1
Person 34,R,2
Person 34,Python,1
Person 34,Java,1
Person 34,Swift,1
Person 34,C,5
Person 34,JavaScript,4
Person 34,Ruby,3
Person 35,Kotlin,3
Person 35,JavaScript,3
Person 35,R,2
Person 35,Go,5
Person 35,C++,1
Person 35,Python,2
Person 35,PHP,1
Person 35,C,5
Person 36,C++,5
Person 36,C,1
Person 36,Kotlin,5
Person 36,PHP,3
Person 36,R,1
Person 36,Python,2
Person 36,Ruby,4
Person 36,JavaScript,2
Person 37,PHP,2
Person 38,Kotlin,3
Person 38,Python,1
Person 38,PHP,5
Person 38,Java,4
Person 38,C,2
Person 38,C++,4
Person 38,JavaScript,3
Person 38,Ruby,1
Person 39,Ruby,2
Person 39,JavaScript,3
Person 39,C++,1
Person 39,Java,1
Person 39,Python,5
Person 39,Go,4
Person 39,Kotlin,3
Person 39,R,3
Person 39,C,3
Person 40,Python,5
Person 40,Swift,2
Person 40,Go,5
Person 40,R,4
Person 40,JavaScript,4
Person 40,Ruby,4
Person 40,C++,5
Person 40,Kotlin,3
Person 40,C,4
Person 40,Java,5
Person 41,C,4
Person 41,Kotlin,2
Person 41,Go,4
Person 41,PHP,2
Person 42,PHP,5
Person 42,C,1
Person 42,Go,5
Person 43,Kotlin,5
Person 43,Python,4
Person 44,C++,1
Person 44,C,4
Person 44,Ruby,2
Person 44,Kotlin,1
Person 44,Java,5
Person 44,R,4
Person 44,PHP,5
Person 44,Go,2
Person 44,JavaScript,1
Person 45,Go,5
Person 45,JavaScript,3
Person 45,Java,3
Person 45,Ruby,3
Person 45,Python,5
Person 45,C,3
Person 46,Swift,5
Person 46,Ruby,1
Person 46,R,4
Person 46,Python,3
Person 46,Go,2
Person 46,C,5
Person 46,Java,1
Person 46,C++,5
Person 46,Kotlin,5
Person 46,JavaScript,4
Person 47,C++,5
Person 47,Go,4
Person 47,Java,3
Person 48,Kotlin,1
Person 48,Go,2
Person 49,Python,3
Person 49,Go,3
Person 49,Swift,2
Person 49,C++,2
Person 49,Ruby,3
Person 49,C,5
Person 49,Java,2
Person 50,Kotlin,3
Person 50,Ruby,3
Person 50,Python,1
Person 50,JavaScript,3
Person 50,R,4
Person 50,C++,5
Person 50,Java,5
Person 50,PHP,5
Person 50,C,5
Person 51,C,5
Person 51,Go,5
Person 51,Python,5
Person 52,Swift,5
Person 52,Ruby,3
Person 52,Python,3
Person 52,PHP,5
Person 52,C,3
Person 52,Go,1
Person 53,Ruby,5
Person 54,Python,4
Person 54,R,2
Person 54,PHP,3
Person 54,JavaScript,3
Person 54,Swift,2
Person 54,Ruby,4
Person 54,Kotlin,2
Person 55,PHP,3
Person 55,Python,2
Person 55,Kotlin,4
Person 55,R,2
Person 56,Java,1
Person 56,JavaScript,1
Person 56,Python,4
Person 56,Go,5
Person 56,Swift,3
Person 56,C,2
Person 57,Go,1
Person 57,Swift,4
Person 58,JavaScript,5
Person 58,C++,3
Person 58,C,5
Person 58,Swift,2
Person 58,Go,3
Person 59,R,3
Person 59,C++,3
Person 59,Python,2
Person 59,Kotlin,4
Person 60,C,3
Person 60,Go,1
Person 60,R,5
Person 60,JavaScript,1
Person 60,Python,1
Person 61,R,3
Person 61,Kotlin,3
Person 61,Python,2
Person 61,Swift,4
Person 61,JavaScript,1
Person 61,Java,4
Person 61,C,1
Person 61,C++,1
Person 62,Python,2
Person 62,C,1
Person 62,R,2
Person 62,PHP,1
Person 62,Ruby,4
Person 63,Go,4
Person 63,Kotlin,1
Person 63,C++,4
Person 63,JavaScript,4
Person 63,Java,5
Person 63,Ruby,3
Person 63,C,3
Person 63,PHP,1
Person 63,Swift,3
Person 64,C,3
Person 64,R,2
Person 65,PHP,2
Person 65,C,4
Person 65,JavaScript,5
Person 66,C,4
Person 66,JavaScript,5
Person 66,Kotlin,4
Person 66,C++,4
Person 66,R,2
Person 66,Python,2
Person 67,Swift,3
Person 67,C++,5
Person 67,Ruby,5
Person 67,Java,1
Person 67,C,2
Person 67,JavaScript,4
Person 67,PHP,3
Person 67,Python,4
Person 67,Kotlin,2
Person 68,R,4
Person 69,R,1
Person 69,Java,2
Person 69,C,5
Person 69,C++,4
Person 69,Swift,1
Person 70,Kotlin,4
Person 70,JavaScript,3
Person 70,Ruby,3
Person 70,Go,2
Person 70,C++,5
Person 71,Python,3
Person 71,R,3
Person 71,JavaScript,2
Person 71,Go,3
Person 71,C++,2
Person 72,Go,5
Person 72,R,1
Person 72,Kotlin,2
Person 72,PHP,3
Person 72,Ruby,2
Person 72,Python,4
Person 72,Java,3
Person 72,JavaScript,4
Person 73,R,1
Person 73,Swift,2
Person 73,C++,2
Person 73,Java,5
Person 73,Ruby,1
Person 73,PHP,5
Person 73,Python,2
Person 73,C,2
Person 73,Kotlin,5
Person 73,Go,1
Person 74,Swift,1
Person 74,Java,2
Person 74,Ruby,2
Person 74,C++,5
Person 74,R,5
Person 74,C,1
Person 75,C++,3
Person 76,Python,5
Person 76,Swift,1
Person 76,C,2
Person 76,C++,2
Person 77,PHP,4
Person 77,Kotlin,4
Person 77,Java,2
Person 77,JavaScript,5
Person 77,Ruby,1
Person 78,C++,5
Person 79,C,3
Person 79,Go,4
Person 80,PHP,2
Person 80,Java,3
Person 80,R,3
Person 80,Go,2
Person 81,Python,3
Person 81,C,5
Person 81,Swift,5
Person 81,PHP,5
Person 81,Go,3
Person 81,Java,1
Person 81,Ruby,2
Person 81,Kotlin,2
Person 81,R,4
Person 81,C++,2
Person 82,Python,3
Person 82,C,4
Person 83,PHP,4
Person 83,C,3
Person 83,Swift,4
Person 83,Ruby,4
Person 83,Kotlin,1
Person 83,JavaScript,1
Person 83,Python,4
Person 83,Java,5
Person 84,C,5
Person 84,Kotlin,5
Person 84,JavaScript,2
Person 84,R,2
Person 84,Python,2
Person 85,Python,5
Person 85,Kotlin,3
Person 85,JavaScript,1
Person 85,R,5
Person 85,C++,4
Person 85,Ruby,4
Person 86,R,1
Person 86,Python,2
Person 86,JavaScript,2
Person 86,Ruby,1
Person 86,PHP,4
Person 86,Kotlin,5
Person 86,C++,4
Person 86,C,2
Person 86,Java,5
Person 87,R,1
Person 87,PHP,3
Person 87,C++,2
Person 87,Python,1
Person 88,Go,5
Person 88,Java,2
Person 88,Swift,5
Person 88,Python,3
Person 88,Ruby,3
Person 88,R,4
Person 88,Kotlin,5
Person 88,C,1
Person 88,JavaScript,1
Person 88,PHP,1
Person 89,C++,5
Person 89,JavaScript,1
Person 90,PHP,1
Person 90,Java,1
Person 90,Swift,2
Person 90,R,5
Person 90,Ruby,1
Person 91,Java,3
Person 91,JavaScript,4
Person 92,C++,4
Person 92,JavaScript,4
Person 92,Python,4
Person 92,PHP,2
Person 92,Go,1
Person 92,Kotlin,1
Person 92,R,5
Person 93,C++,3
Person 93,PHP,1
Person 93,Go,2
Person 93,Kotlin,5
Person 93,JavaScript,1
Person 93,Python,5
Person 93,Java,3
Person 93,R,4
Person 93,Swift,5
Person 94,C++,3
Person 94,JavaScript,5
Person 94,Go,1
Person 94,PHP,5
Person 94,Ruby,5
Person 94,Java,1
Person 95,Swift,1
Person 95,C,1
Person 95,R,2
Person 95,PHP,3
Person 95,Ruby,5
Person 95,JavaScript,1
Person 95,Go,5
Person 95,C++,1
Person 96,Swift,3
Person 96,C++,5
Person 96,Java,5
Person 96,Kotlin,4
Person 96,Ruby,4
Person 96,R,4
Person 97,Kotlin,1
Person 97,C++,2
Person 97,PHP,1
Person 97,R,4
Person 97,Java,4
Person 97,Swift,4
Person 97,C,5
Person 98,Swift,3
Person 98,Ruby,4
Person 98,Kotlin,1
Person 98,C++,4
Person 98,C,1
Person 99,Python,4
Person 99,Go,4
Person 99,R,4
Person 99,Java,3
Person 99,JavaScript,2
Person 99,Swift,5
Person 100,R,3
Person 100,Java,3
Person 100,JavaScript,3
Person 101,JavaScript,5
Person 101,Ruby,5
Person 101,Java,2
Person 101,C,2
Person 101,Go,1
Person 101,R,1
Person 101,Swift,3
Person 101,C++,4
Person 101,Kotlin,2
Person 102,Java,5
Person 102,Python,5
Person 103,Python,2
Person 103,PHP,1
Person 103,Swift,2
Person 104,R,4
Person 105,Ruby,5
Person 105,Kotlin,4
Person 105,PHP,1
Person 105,Java,3
Person 105,Python,5
Person 105,Swift,5
Person 105,R,5
Person 105,C++,2
Person 106,C,3
Person 106,Python,5
Person 106,Java,3
Person 106,C++,3
Person 106,Go,4
Person 106,PHP,2
Person 106,Swift,3
Person 107,C,5
Person 107,Go,3
Person 107,JavaScript,3
Person 108,Kotlin,1
Person 109,C++,1
Person 109,Go,5
Person 109,Swift,5
Person 109,C,2
Person 109,R,5
Person 109,Python,1
Person 110,Java,5
Person 110,Go,4
Person 110,JavaScript,4
Person 110,R,3
Person 110,Kotlin,3
Person 110,C++,4
Person 110,Ruby,4
Person 110,C,1
Person 110,PHP,2
Person 110,Swift,4
Person 111,Java,5
Person 111,C,2
Person 111,PHP,1
Person 111,R,3
Person 111,Kotlin,1
Person 111,Python,1
Person 112,PHP,1
Person 112,Go,3
Person 112,R,2
Person 112,Python,4
Person 112,Kotlin,5
Person 112,Ruby,3
Person 113,Ruby,2
Person 114,PHP,5
Person 114,C++,4
Person 114,Python,3
Person 114,C,1
Person 115,PHP,2
Person 115,Ruby,2
Person 115,JavaScript,3
Person 115,Java,4
Person 116,C++,5
Person 116,Java,1
Person 116,Go,5
Person 116,C,1
Person 117,C,5
Person 117,JavaScript,1
Person 118,Swift,1
Person 118,C,3
Person 118,Java,1
Person 118,PHP,4
Person 119,R,2
Person 120,Kotlin,4
Person 120,PHP,5
Person 120,Go,5
Person 121,Python,5
Person 121,Java,2
Person 121,Go,4
Person 121,Kotlin,3
Person 121,C++,3
Person 122,C++,3
Person 122,Ruby,4
Person 122,JavaScript,5
Person 122,Python,5
Person 122,Kotlin,4
Person 123,Go,4
Person 123,JavaScript,5
Person 124,JavaScript,5
Person 124,C,3
Person 124,Kotlin,3
Person 124,Python,4
Person 125,Ruby,3
Person 125,Python,1
Person 125,Go,3
Person 125,JavaScript,4
Person 125,Kotlin,1
Person 125,R,4
Person 125,C,2
Person 125,Swift,1
Person 125,PHP,1
Person 125,Java,1
Person 126,Swift,3
Person 126,JavaScript,5
Person 126,Ruby,3
Person 126,Java,3
Person 126,PHP,4
Person 126,C++,5
Person 126,R,1
Person 126,Kotlin,2
Person 127,PHP,4
Person 127,Java,3
Person 127,Kotlin,1
Person 127,JavaScript,3
Person 127,Python,3
Person 127,R,1
Person 127,C++,3
Person 127,C,2
Person 127,Swift,3
Person 127,Go,2
Person 128,PHP,3
Person 129,Python,3
Person 129,Java,3
Person 129,C++,5
Person 130,Go,5
Person 130,PHP,4
Person 130,JavaScript,3
Person 130,C,2
Person 130,C++,4
Person 131,Go,3
Person 131,JavaScript,2
Person 132,Go,2
Person 132,Python,1
Person 132,PHP,3
Person 133,R,2
Person 133,JavaScript,3
Person 133,Python,4
Person 134,Swift,2
Person 135,R,3
Person 135,Kotlin,4
Person 135,Go,3
Person 135,C,4
Person 135,Python,4
Person 136,C,1
Person 136,Kotlin,4
Person 136,Ruby,5
Person 136,Python,1
Person 136,C++,4
Person 136,Swift,4
Person 136,PHP,3
Person 136,JavaScript,1
Person 136,Java,1
Person 137,JavaScript,4
Person 137,Kotlin,5
Person 137,Java,3
Person 137,Ruby,1
Person 137,PHP,5
Person 137,R,4
Person 137,Python,3
Person 137,Go,1
Person 137,C++,3
Person 137,Swift,3
Person 138,C,4
Person 138,JavaScript,2
Person 138,Ruby,2
Person 138,Kotlin,5
Person 138,C++,4
Person 139,Swift,1
Person 139,C,2
Person 139,Java,2
Person 139,Go,5
Person 140,Go,4
Person 140,Ruby,2
Person 141,PHP,5
Person 141,R,4
Person 141,Java,4
Person 141,Swift,5
Person 141,Python,5
Person 141,Go,4
Person 141,Kotlin,5
Person 141,C++,2
Person 141,Ruby,4
Person 141,C,2
Person 142,Kotlin,5
Person 143,PHP,5
Person 143,R,3
Person 143,C,2
Person 143,Swift,5
Person 143,JavaScript,2
Person 143,Python,5
Person 143,Go,2
Person 143,C++,1
Person 144,Kotlin,4
Person 145,C++,2
Person 145,Swift,1
Person 145,Java,1
Person 146,Python,5
Person 146,C,4
Person 146,C++,1
Person 146,Java,4
Person 146,Swift,3
Person 146,PHP,1
Person 146,JavaScript,4
Person 146,R,5
Person 146,Go,3
Person 146,Ruby,4
Person 147,Python,4
Person 147,Swift,4
Person 147,Java,2
Person 147,C++,1
Person 147,Ruby,2
Person 148,Kotlin,4
Person 148,Java,5
Person 149,Swift,4
Person 149,Go,1
Person 150,Go,5
Person 151,C++,2
Person 152,JavaScript,1
Person 153,Python,3
Person 153,Go,3
Person 153,R,1
Person 154,Kotlin,3
Person 155,Ruby,5
Person 155,JavaScript,2
Person 155,Java,4
Person 155,R,4
Person 155,Go,4
Person 155,Swift,3
Person 155,C,5
Person 156,Ruby,2
Person 156,Kotlin,2
Person 157,Swift,3
Person 157,Ruby,1
Person 157,C,3
Person 157,PHP,2
Person 157,Kotlin,5
Person 158,C,4
Person 158,Go,5
Person 158,Java,5
Person 158,Kotlin,1
Person 158,Swift,2
Person 158,R,5
Person 158,Ruby,5
Person 158,PHP,3
Person 158,Python,4
Person 159,R,1
Person 160,JavaScript,3
Person 160,C++,5
Person 160,Swift,4
Person 161,JavaScript,4
Person 161,R,2
Person 161,C++,5
Person 161,Python,5
Person 161,Go,5
Person 161,Swift,5
Person 161,Ruby,3
Person 161,Kotlin,5
Person 161,C,2
Person 161,PHP,1
Person 162,Kotlin,3
Person 163,JavaScript,1
Person 163,Java,4
Person 163,Kotlin,5
Person 163,C++,5
Person 163,Ruby,3
Person 163,Go,4
Person 163,R,3
Person 163,PHP,2
Person 163,C,1
Person 163,Python,3
Person 164,Kotlin,1
Person 164,JavaScript,4
Person 164,Java,4
Person 164,PHP,4
Person 165,Swift,1
Person 165,Go,2
Person 165,PHP,2
Person 165,JavaScript,3
Person 165,Java,1
Person 165,Ruby,2
Person 166,Python,2
Person 166,Go,3
Person 166,JavaScript,3
Person 167,C,3
Person 167,Python,5
Person 167,PHP,5
Person 167,Swift,3
Person 167,JavaScript,2
Person 167,Go,3
Person 167,C++,1
Person 167,Kotlin,4
Person 167,Ruby,2
Person 168,R,4
Person 168,Swift,4
Person 169,C++,5
Person 169,C,2
Person 169,Kotlin,3
Person 169,Swift,5
Person 169,Python,4
Person 169,Java,5
Person 169,JavaScript,3
Person 169,PHP,5
Person 170,PHP,5
Person 170,Java,5
Person 170,Ruby,5
Person 170,JavaScript,1
Person 170,C,3
Person 170,Swift,5
Person 170,Kotlin,3
Person 170,Python,1
Person 170,Go,3
Person 171,R,1
Person 171,Ruby,4
Person 171,C,2
Person 171,C++,1
Person 171,Kotlin,3
Person 171,PHP,4
Person 171,JavaScript,4
Person 171,Python,4
Person 172,Ruby,3
Person 172,Kotlin,5
Person 172,Python,5
Person 172,Java,5
Person 172,R,5
Person 172,C++,1
Person 173,Java,4
Person 173,C,5
Person 173,JavaScript,1
Person 173,Python,2
Person 173,C++,3
Person 174,Java,4
Person 174,C++,2
Person 174,R,4
Person 175,C++,4
Person 175,Swift,2
Person 175,Kotlin,4
Person 176,JavaScript,4
Person 176,Ruby,1
Person 176,C,4
Person 176,PHP,3
Person 176,R,1
Person 177,Java,2
Person 177,Ruby,5
Person 177,Go,4
Person 177,JavaScript,1
Person 178,C,2
Person 178,Java,4
Person 178,Kotlin,2
Person 178,Go,2
Person 179,R,1
Person 179,JavaScript,2
Person 179,C,3
Person 179,C++,5
Person 179,PHP,3
Person 179,Swift,3
Person 179,Python,3
Person 180,Ruby,3
Person 180,Python,3
Person 180,Go,3
Person 180,JavaScript,3
Person 180,Java,1
Person 180,PHP,2
Person 181,Swift,5
Person 181,Kotlin,1
Person 181,Java,4
Person 181,JavaScript,5
Person 181,C,3
Person 181,C++,3
Person 181,Go,5
Person 181,Python,3
Person 182,C,2
Person 182,Swift,4
Person 182,JavaScript,1
Person 182,Python,5
Person 182,R,2
Person 183,R,5
Person 183,Java,4
Person 184,Swift,5
Person 184,C++,2
Person 184,C,4
Person 184,JavaScript,3
Person 184,R,3
Person 184,Kotlin,5
Person 185,Java,4
Person 185,C++,1
Person 185,Swift,4
Person 185,Go,3
Person 185,JavaScript,1
Person 185,Ruby,4
Person 185,C,4
Person 185,Kotlin,1
Person 185,Python,4
Person 185,PHP,3
Person 186,Go,2
Person 187,Go,1
Person 187,Kotlin,5
Person 187,R,2
Person 187,PHP,1
Person 187,C++,3
Person 188,Python,2
Person 188,JavaScript,5
Person 188,Java,4
Person 188,Ruby,2
Person 188,Kotlin,4
Person 189,C++,4
Person 190,R,3
Person 191,R,5
Person 191,Go,4
Person 191,Swift,3
Person 191,PHP,2
Person 192,Ruby,1
Person 192,Java,3
Person 192,Go,5
Person 192,PHP,5
Person 192,C,4
Person 192,R,5
Person 192,C++,2
Person 192,Swift,1
Person 192,Kotlin,1
Person 193,Swift,3
Person 194,Java,5
Person 194,Ruby,4
Person 194,Python,3
Person 195,Kotlin,5
Person 195,Go,5
Person 196,PHP,3
Person 196,C,1
Person 196,JavaScript,2
Person 196,Ruby,1
Person 196,R,1
Person 196,Swift,3
Person 196,Go,3
Person 196,C++,1
Person 197,JavaScript,2
Person 198,C,5
Person 198,PHP,5
Person 198,Ruby,2
Person 198,JavaScript,2
Person 199,Python,3
Person 199,PHP,4
Person 199,C,3
Person 200,Kotlin,2
Person 200,C++,2
Person 200,Java,1
Person 200,Python,3
Person 201,Kotlin,2
Person 201,JavaScript,4
Person 201,Go,5
Person 202,Java,1
Person 202,Python,1
Person 202,Ruby,3
Person 202,Kotlin,5
Person 202,Go,3
Person 202,Swift,2
Person 203,Python,4
Person 203,Go,5
Person 203,Swift,3
Person 204,PHP,5
Person 204,Java,5
Person 204,Swift,4
Person 204,C,3
Person 204,JavaScript,1
Person 204,R,5
Person 204,Python,1
Person 204,Kotlin,4
Person 205,Ruby,5
Person 206,Go,5
Person 206,PHP,5
Person 206,C,3
Person 206,R,5
Person 207,Kotlin,2
Person 207,Python,4
Person 208,PHP,2
Person 208,C++,2
Person 209,Python,5
Person 209,Swift,2
Person 209,Go,3
Person 209,JavaScript,3
Person 209,Ruby,1
Person 209,C++,1
Person 209,Java,4
Person 209,C,1
Person 210,Swift,5
Person 210,Go,5
Person 210,Kotlin,4
Person 210,Java,1
Person 211,C++,3
Person 211,Kotlin,5
Person 211,Java,1
Person 212,Go,2
Person 212,JavaScript,2
Person 212,Kotlin,5
Person 212,Python,1
Person 212,C,2
Person 212,Swift,4
Person 212,PHP,1
Person 212,Java,4
Person 213,Python,5
Person 213,Swift,4
Person 214,Kotlin,4
Person 214,Ruby,5
Person 214,R,5
Person 214,Java,1
Person 214,JavaScript,1
Person 215,Kotlin,4
Person 215,Python,2
Person 215,Java,1
Person 215,JavaScript,3
Person 215,Swift,4
Person 215,R,5
Person 215,Go,2
Person 215,PHP,3
Person 216,Go,5
Person 216,C++,1
Person 216,PHP,4
Person 216,Ruby,2
Person 216,C,5
Person 216,Kotlin,1
Person 217,C,2
Person 217,Ruby,5
Person 217,Java,5
Person 217,Kotlin,3
Person 217,R,1
Person 217,Python,3
Person 217,C++,5
Person 217,Go,4
Person 217,Swift,5
Person 218,R,2
Person 218,C++,1
Person 218,Go,4
Person 218,Java,2
Person 218,Swift,2
Person 218,JavaScript,5
Person 218,Kotlin,5
Person 218,PHP,3
Person 218,C,4
Person 218,Ruby,1
Person 219,Go,5
Person 219,Kotlin,5
Person 219,Ruby,3
Person 219,Python,4
Person 219,C,5
Person 219,C++,2
Person 219,R,5
Person 219,Swift,4
Person 219,JavaScript,4
Person 220,Swift,3
Person 220,Kotlin,4
Person 220,PHP,1
Person 220,JavaScript,4
Person 220,Ruby,4
Person 220,R,4
Person 220,C,4
Person 220,Java,4
Person 221,R,3
Person 221,Python,1
Person 221,C++,5
Person 222,C++,1
Person 222,Ruby,2
Person 222,Kotlin,5
Person 222,Swift,3
Person 222,Go,3
Person 223,R,2
Person 223,C,4
Person 223,PHP,1
Person 223,Python,5
Person 223,Kotlin,2
Person 223,Swift,5
Person 223,Java,2
Person 224,C,5
Person 224,PHP,3
Person 224,Go,1
Person 224,Java,1
Person 225,C,4
Person 225,Swift,5
Person 225,Kotlin,4
Person 225,R,5
Person 225,Python,2
Person 226,R,2
Person 226,Python,4
Person 226,PHP,5
Person 227,JavaScript,2
Person 227,Java,5
Person 227,Go,1
Person 227,C,1
Person 227,Python,3
Person 227,C++,1
Person 227,Swift,4
Person 227,Ruby,1
Person 227,R,4
Person 228,C++,2
Person 228,PHP,4
Person 229,Python,2
Person 229,Java,1
Person 229,Ruby,5
Person 229,Swift,4
Person 229,JavaScript,2
Person 229,PHP,4
Person 229,R,4
Person 229,Kotlin,1
Person 229,C,3
Person 230,Swift,5
Person 230,C++,5
Person 230,JavaScript,3
Person 230,Python,5
Person 230,R,3
Person 230,Ruby,2
Person 230,Go,5
Person 230,C,4
Person 230,Kotlin,3
Person 230,PHP,5
Person 231,Swift,4
Person 231,C,1
Person 231,Python,5
Person 231,Java,2
Person 231,R,5
Person 231,Ruby,2
Person 232,Ruby,1
Person 232,Swift,1
Person 232,C++,2
Person 232,JavaScript,3
Person 233,C,3
Person 233,Go,4
Person 233,PHP,5
Person 233,Swift,1
Person 233,R,1
Person 233,Java,2
Person 234,Kotlin,1
Person 234,C,4
Person 234,PHP,4
Person 235,R,5
Person 235,C++,5
Person 235,JavaScript,1
Person 235,Ruby,5
Person 235,Java,3
Person 235,Python,5
Person 235,PHP,3
Person 236,Kotlin,3
Person 236,PHP,4
Person 236,Go,2
Person 237,Kotlin,5
Person 237,Go,2
Person 237,PHP,5
Person 237,C++,2
Person 237,R,1
Person 237,JavaScript,5
Person 238,C,1
Person 238,PHP,2
Person 238,Go,3
Person 238,R,3
Person 238,Java,5
Person 238,C++,2
Person 238,Python,5
Person 239,JavaScript,4
Person 239,Ruby,3
Person 239,C++,5
Person 239,PHP,1
Person 239,R,5
Person 239,Swift,5
Person 239,Python,2
Person 240,Python,3
Person 240,Kotlin,5
Person 240,C++,4
Person 240,Ruby,1
Person 240,JavaScript,4
Person 240,R,5
Person 240,PHP,3
Person 240,Swift,3
Person 240,C,1
Person 241,Ruby,2
Person 241,Swift,1
Person 241,Python,1
Person 241,PHP,4
Person 241,C++,1
Person 241,Java,4
Person 241,C,1
Person 241,R,4
Person 241,Kotlin,4
Person 241,Go,2
Person 242,Java,5
Person 242,Python,2
Person 242,C++,1
Person 242,Kotlin,1
Person 242,PHP,2
Person 242,C,1
Person 242,R,1
Person 242,Swift,2
Person 243,PHP,3
Person 243,C,3
Person 243,Java,4
Person 243,Python,3
Person 243,C++,4
Person 244,C++,4
Person 244,PHP,5
Person 244,Java,2
Person 244,Python,2
Person 244,Ruby,5
Person 244,R,3
Person 244,Go,1
Person 244,Swift,5
Person 244,JavaScript,2
Person 245,Java,4
Person 245,Python,4
Person 245,PHP,1
Person 245,Go,5
Person 245,C,4
Person 245,C++,5
Person 245,Swift,2
Person 245,Kotlin,5
Person 245,R,2
Person 246,Java,2
Person 246,Python,4
Person 246,C++,3
Person 246,Kotlin,1
Person 247,Ruby,1
Person 247,Python,3
Person 247,JavaScript,3
Person 247,Go,5
Person 247,C,1
Person 247,C++,3
Person 247,Kotlin,4
Person 247,Java,1
Person 248,JavaScript,4
Person 248,R,2
Person 248,Java,1
Person 248,Ruby,1
Person 248,Swift,1
Person 248,C,4
Person 248,Go,1
Person 248,PHP,1
Person 249,Go,1
